date,Illinois-apple-driving,Illinois-apple-walking,Illinois-google-retail_and_recreation,Illinois-google-grocery_and_pharmacy,Illinois-google-parks,Illinois-google-transit_stations,Illinois-google-workplaces,Illinois-google-residential,Illinois-jh_beta_7,Illinois-jh_gamma_7,Illinois-cdc_beta_7,Illinois-cdc_gamma_7,Illinois-jh_beta_14,Illinois-jh_gamma_14,Illinois-cdc_beta_14,Illinois-cdc_gamma_14,Illinois-jh_beta_30,Illinois-jh_gamma_30,Illinois-cdc_beta_30,Illinois-cdc_gamma_30,Illinois-census_pop,Illinois-jh_confirmed,Illinois-jh_death,Illinois-cdc_confirmed,Illinois-cdc_death,Illinois-jh_confirmed_ratio,Illinois-jh_death_ratio,Illinois-cdc_confirmed_ratio,Illinois-cdc_death_ratio
03-20-2021,152.56,210.25,-6.0,2.0,65.0,-12.0,-7.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000007421644,2.5105675982856643e-05,0.0250000007448792,2.515059278772944e-05,0.0250000016852746,2.6158724238834106e-05,0.0250000016834376,2.6141081231090714e-05,12671821,1220432,23329,1220432,23329,0.096310703883838,0.0018410140105356,0.096310703883838,0.0018410140105356
03-21-2021,116.28,151.94,-4.0,-2.0,122.0,-16.0,-11.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000005673089,2.131610056371877e-05,0.0250000005706576,2.1373510023611703e-05,0.0250000015373013,2.473195485228408e-05,0.0250000015356522,2.4715370700404245e-05,12671821,1221863,23357,1221863,23357,0.0964236316153771,0.0018432236377076,0.0964236316153771,0.0018432236377076
03-22-2021,117.77,129.93,-10.0,-5.0,39.0,-34.0,-33.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000006292125,2.27335561187495e-05,0.0250000006330774,2.2802167640529696e-05,0.0250000013953777,2.335682538249645e-05,0.0250000013939001,2.3341237825471114e-05,12671821,1223083,23379,1223083,23379,0.0965199082278703,0.0018449597733427,0.0965199082278703,0.0018449597733427
03-23-2021,116.28,114.4,-14.0,-9.0,-19.0,-37.0,-33.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000007206074,2.481541519290802e-05,0.0250000007248862,2.489402483609185e-05,0.0250000012924514,2.237489428179889e-05,0.0250000012911352,2.23602953775914e-05,12671821,1224915,23391,1224915,23391,0.0966644809771224,0.0018459067564164,0.0966644809771224,0.0018459067564164
03-24-2021,122.9,125.03,-10.0,-4.0,-2.0,-34.0,-33.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000007310122,2.5162667884452727e-05,0.0250000007356166,2.5250113119231695e-05,0.0250000012405772,2.191955024036458e-05,0.0250000012394104,2.190591241760141e-05,12671821,1227708,23408,1227708,23408,0.0968848912875268,0.0018472483157708,0.0968848912875268,0.0018472483157708
03-25-2021,124.47,123.79,-13.0,-5.0,-16.0,-35.0,-32.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000006887849,2.433174920592917e-05,0.0250000006936377,2.442688437566872e-05,0.0250000011867556,2.1443486573919957e-05,0.025000001185727,2.1430783820636885e-05,12671821,1229898,23442,1229898,23442,0.0970577156984777,0.0018499314344797,0.0970577156984777,0.0018499314344797
03-26-2021,149.18,159.91,-14.0,-6.0,-8.0,-30.0,-32.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000005176529,2.0498852205322328e-05,0.0250000005226878,2.060054307205144e-05,0.0250000011897123,2.153073035210841e-05,0.0250000011888115,2.1518944860638335e-05,12671821,1232900,23472,1232900,23472,0.0972946192974159,0.0018522988921639,0.0972946192974159,0.0018522988921639
03-27-2021,148.83,196.21,-9.0,-1.0,51.0,-12.0,-8.0,1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000011176238,2.0840284954265903e-05,0.0250000011168409,2.0829398454479447e-05,12671821,1235578,23498,1235578,23498,0.097505954353364,0.0018543506888236,0.097505954353364,0.0018543506888236
03-28-2021,111.91,129.03,-9.0,-4.0,23.0,-20.0,-12.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000010915786,2.0611648415223248e-05,0.0250000010909035,2.0601637779358515e-05,12671821,1237828,23521,1237828,23521,0.0976835136796834,0.0018561657397149,0.0976835136796834,0.0018561657397149
03-29-2021,121.9,136.18,-9.0,-3.0,29.0,-33.0,-35.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000009551934,1.9252800017279848e-05,0.0250000009546166,1.9243648585542483e-05,12671821,1239589,23527,1239589,23527,0.0978224834457494,0.0018566392312517,0.0978224834457494,0.0018566392312517
